                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.587,                 3.6218,                 1.2836,                      0,                      0,                      0,                      0,                 1.8183,                 3.5359,                 1.2238,                      0,                      0,                      0
                      1,                 1.5517,                 3.6057,                 1.2748,                      0,                      0,                      0,                      0,                  1.722,                 3.5293,                 1.1861,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 1.7532,                 3.5606,                 1.3422,                      0,                      0,                      0,                      0,                 1.5895,                 3.5112,                 1.1517,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 1.6997,                 3.6468,                 1.2275,                      0,                      0,                      0,                      0,                  1.501,                 3.4789,                 1.1248,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.4743,                 3.5407,                 1.1747,                      0,                      0,                      0,                      0,                 1.4221,                 3.4159,                 1.1044,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.5133,                 3.3636,                 1.1688,                      0,                      0,                      0,                      0,                 1.3594,                 3.3167,                 1.0587,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 1.4692,                  3.333,                 1.1406,                      0,                      0,                      0,                      0,                 1.2838,                 3.2384,                 1.0159,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.2474,                 3.1069,                 1.0919,                      0,                      0,                      0,                      0,                 1.2039,                 3.1864,                0.97967,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.5269,                 3.1127,                 1.0869,                      0,                      0,                      0,                      0,                 1.1859,                 3.1749,                 0.9587,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.3397,                 2.8394,                 1.0252,                      0,                      0,                      0,                      0,                 1.3209,                 3.1913,                0.96306,             0.00016396,             0.00016396,             0.00016396
                     10,                 1.4534,                  2.582,                 1.0675,                      0,                      0,                      0,                      0,                 1.3859,                  3.172,                0.96892,              0.0001802,              0.0001802,              0.0001802
                     11,                 1.3743,                 2.4082,                 1.0083,                      0,                      0,                      0,                      0,                 1.4125,                  3.115,                0.97102,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.3229,                 1.9744,                 1.0013,                      0,                      0,                      0,                      0,                  1.341,                 3.0075,                0.96037,             0.00021149,             0.00021149,             0.00021149
                     13,                 1.2978,                 1.4611,                0.99382,                      0,                      0,                      0,                      0,                 1.2198,                 2.8839,                0.94251,             0.00022654,             0.00022654,             0.00022654
                     14,                 1.2909,                 1.3814,                 1.0124,                      0,                      0,                      0,                      0,                 1.2562,                  2.745,                0.97508,             0.00024119,             0.00024119,             0.00024119
                     15,                 1.1968,                 1.5655,                0.96117,                      0,                      0,                      0,                      0,                 1.3231,                 2.5551,                 1.0093,             0.00025545,             0.00025545,             0.00025545
                     16,                 1.1809,                 1.0648,                 1.0182,                      0,                      0,                      0,                      0,                 1.4575,                 2.3708,                 1.0706,             0.00026931,             0.00026931,             0.00026931
                     17,                 1.1695,                0.89695,                0.96764,                      0,                      0,                      0,                      0,                 1.4575,                 2.3708,                 1.0706,             0.00028278,             0.00028278,             0.00028278
                     18,                 1.2343,                0.99314,                0.96009,                      0,                      0,                      0,                      0,                 1.4366,                 2.1538,                 1.0718,             0.00029585,             0.00029585,             0.00029585
                     19,                 1.2067,                0.96208,                0.99855,                      0,                      0,                      0,                      0,                 1.4366,                 2.1538,                 1.0718,             0.00030852,             0.00030852,             0.00030852
                     20,                 1.4704,                 1.1519,                0.99922,                      0,                      0,                      0,                      0,                 1.2911,                 1.9331,                  1.014,              0.0003208,              0.0003208,              0.0003208
                     21,                 1.2004,                 0.8801,                0.91686,                      0,                      0,                      0,                      0,                 1.2911,                 1.9331,                  1.014,             0.00033268,             0.00033268,             0.00033268
                     22,                 1.3692,                0.92303,                  1.003,                      1,                0.06667,                0.53332,                0.29083,                 1.2516,                 1.7884,                0.96194,             0.00034417,             0.00034417,             0.00034417
                     23,                 1.2699,                0.98523,                0.95414,                      1,                0.06667,                0.53332,                0.29083,                 1.2516,                 1.7884,                0.96194,             0.00035526,             0.00035526,             0.00035526
                     24,                 1.3328,                 1.0095,                 0.9846,                      1,                    0.1,                   0.55,                0.16172,                 1.4576,                 1.7363,                0.99559,             0.00036595,             0.00036595,             0.00036595
                     25,                 1.5532,                 1.0217,                 1.0356,                      1,                    0.1,                   0.55,                0.16172,                 1.4576,                 1.7363,                0.99559,             0.00037625,             0.00037625,             0.00037625
                     26,                 1.5817,                 1.0195,                 1.1055,                0.66667,                0.06667,                0.35555,                0.08891,                 1.6441,                 1.6888,                 1.0593,             0.00038615,             0.00038615,             0.00038615
                     27,                 1.7255,                 1.1133,                 1.1564,                0.66667,                0.06667,                0.35555,                0.08891,                 1.6441,                 1.6888,                 1.0593,             0.00039566,             0.00039566,             0.00039566
                     28,                 1.6342,                 1.0318,                 1.0306,                0.71429,                0.16667,                0.42005,                0.17289,                 1.5688,                 1.5389,                  1.052,             0.00040477,             0.00040477,             0.00040477
                     29,                  1.614,                0.99709,                 1.0982,                0.71429,                0.16667,                0.42005,                0.17289,                 1.5688,                 1.5389,                  1.052,             0.00041348,             0.00041348,             0.00041348
                     30,                 1.7152,                  1.106,                  1.204,                      1,                    0.3,                   0.65,                0.33688,                  1.356,                 1.3675,                0.97404,              0.0004218,              0.0004218,              0.0004218
                     31,                 1.3231,                0.82792,                0.97923,                      1,                    0.3,                   0.65,                0.33688,                  1.356,                 1.3675,                0.97404,             0.00042972,             0.00042972,             0.00042972
                     32,                 1.3576,                 1.0104,                 1.0627,                      1,                    0.4,                    0.7,                0.45683,                 1.1665,                 1.2449,                0.92438,             0.00043725,             0.00043725,             0.00043725
                     33,                 1.1929,                0.84736,                0.96966,                      1,                    0.4,                    0.7,                0.45683,                 1.1665,                 1.2449,                0.92438,             0.00044438,             0.00044438,             0.00044438
                     34,                 1.1546,                0.85178,                0.98149,                      1,                0.43333,                0.71665,                0.49144,                 1.3852,                 1.2022,                 1.0467,             0.00045111,             0.00045111,             0.00045111
                     35,                 1.3039,                0.87848,                0.95121,                      1,                0.43333,                0.71665,                0.49144,                 1.3852,                 1.2022,                 1.0467,             0.00045745,             0.00045745,             0.00045745
