                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.938,                 3.6486,                 1.1659,                   0.03,                0.24324,                0.02079,                0.00958,                 1.4959,                 3.5533,                 1.1349,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.6887,                  3.547,                 1.1917,                0.07333,                0.59459,                0.07695,                0.04142,                 1.3446,                 3.4379,                 1.0404,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.6539,                 3.5222,                 1.1574,                   0.12,                0.97297,                0.19514,                0.11003,                  1.218,                 3.2895,                0.95544,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                 1.6011,                 3.3736,                 1.0365,                0.12333,                      1,                0.21967,                0.12911,                 1.1879,                 3.2179,                0.91906,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.3545,                 2.8422,                 1.0027,                0.12333,                      1,                 0.2184,                0.13889,                0.97782,                 3.1649,                0.87255,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.7246,                 2.5944,                0.99929,                0.12333,                      1,                0.22238,                0.14655,                0.91583,                 3.0872,                0.85819,             0.00021637,             0.00021637,             0.00021637
                      6,                 1.6796,                 2.0861,                  1.048,                0.12333,                      1,                0.18347,                0.10883,                0.99227,                 2.9883,                0.87287,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.5008,                 1.8736,                 1.0551,                0.12333,                      1,                  0.772,                0.53229,                0.98218,                 2.6909,                0.86515,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.3322,                 1.8302,                0.99982,                0.12333,                      1,                0.93565,                 0.6532,                0.97193,                 2.5677,                0.85987,             0.00033102,             0.00033102,             0.00033102
                      9,                   1.41,                 1.5544,                 1.0607,                0.12333,                      1,                 0.9525,                0.68903,                0.97324,                   2.44,                0.86013,             0.00036871,             0.00036871,             0.00036871
