                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.915,                 3.6466,                 1.1608,                0.00667,                0.03448,                0.00352,                0.00281,                 1.7544,                   3.61,                 1.0738,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.6452,                 3.5385,                 1.1775,                0.04667,                0.24138,                0.03197,                0.01626,                 1.5175,                 3.5586,                0.99566,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.6532,                 3.5213,                 1.1628,                0.15333,                 0.7931,                0.19644,                0.09851,                 1.3155,                 3.4502,                0.92833,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                 1.4441,                  3.382,                 1.0395,                0.19333,                      1,                0.24396,                0.13825,                 1.1969,                 3.3971,                0.88923,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.2872,                 2.8333,                0.99803,                0.19333,                      1,                 0.2272,                0.14019,                 1.1587,                 3.3374,                0.87278,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.7472,                 2.5852,                 1.0114,                0.19333,                      1,                0.22243,                0.12705,                 1.1761,                 3.2828,                0.87382,             0.00021637,             0.00021637,             0.00021637
                      6,                  1.657,                 2.0806,                 1.0567,                0.19333,                      1,                 0.2186,                 0.0871,                 1.2328,                 3.2813,                0.88301,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.6523,                 1.9544,                 1.1449,                0.19333,                      1,                0.49118,                0.23359,                 1.2164,                 3.0704,                0.88345,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.3335,                  1.828,                  1.031,                0.19333,                      1,                0.85571,                0.45967,                 1.1868,                 2.8877,                0.86898,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.4402,                  1.568,                 1.1194,                0.19333,                      1,                0.96595,                0.62663,                 1.1442,                  2.682,                0.85466,             0.00036871,             0.00036871,             0.00036871
                     10,                 1.3603,                 1.1257,                0.98879,                0.23634,                      1,                0.98454,                0.67392,                 1.1323,                 2.4579,                0.84925,             0.00040614,             0.00040614,             0.00040614
                     11,                 1.1964,                 1.1559,                0.93133,                      1,                0.58219,                0.98673,                0.68109,                 1.1539,                 2.1874,                0.85557,              0.0004433,              0.0004433,              0.0004433
                     12,                 1.2374,                 0.9767,                0.96248,                      1,                0.77123,                0.98599,                0.67935,                 1.1929,                 1.9318,                0.85622,              0.0004802,              0.0004802,              0.0004802
                     13,                 1.2121,                  1.291,                0.95803,                0.98055,                0.84483,                0.98496,                0.61929,                   1.29,                 1.7206,                0.87901,             0.00051683,             0.00051683,             0.00051683
