                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8995,                 3.6469,                 1.1587,                      0,                      0,                      0,                      0,                 1.7934,                 3.6258,                 1.0555,                  2e-05,                  2e-05,                  2e-05
                      1,                  1.651,                 3.5357,                 1.1761,                   0.01,                0.04839,                0.00547,                0.00126,                 1.5133,                 3.6128,                0.97167,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.6271,                 3.5216,                  1.161,                0.12667,                 0.6129,                0.12515,                0.05471,                 1.3437,                 3.5042,                0.90951,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                 1.4364,                  3.386,                 1.0411,                   0.18,                0.87097,                0.20126,                0.11451,                 1.3007,                 3.4081,                0.88851,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.2739,                 2.8315,                0.99869,                0.19333,                0.93548,                0.22285,                0.12053,                 1.4049,                 3.3523,                 0.9069,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.7529,                 2.5943,                 1.0148,                0.19333,                0.93548,                0.22437,                0.11457,                 1.4532,                 3.3022,                0.90653,             0.00021637,             0.00021637,             0.00021637
                      6,                 1.6078,                 2.0813,                 1.0415,                0.19333,                0.93548,                0.24693,                0.09844,                 1.3751,                 3.2488,                0.88337,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.5598,                 1.9575,                 1.0884,                    0.2,                0.96774,                0.35957,                0.19777,                 1.3003,                  3.037,                 0.8705,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.3513,                 1.8275,                  1.043,                    0.2,                0.96774,                0.86086,                0.51674,                 1.2301,                 2.8913,                 0.8593,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.4195,                 1.5498,                 1.0975,                0.20667,                      1,                0.95869,                0.54962,                 1.2153,                 2.7258,                0.85811,             0.00036871,             0.00036871,             0.00036871
                     10,                 1.3408,                 1.1264,                0.98934,                0.20667,                      1,                  0.978,                0.56807,                 1.2326,                 2.4854,                0.85866,             0.00040614,             0.00040614,             0.00040614
                     11,                 1.1949,                 1.1646,                0.93414,                0.90691,                0.94283,                0.98238,                0.58059,                 1.2961,                  2.175,                0.87479,              0.0004433,              0.0004433,              0.0004433
                     12,                 1.2511,                0.98772,                0.97386,                0.95519,                0.68771,                0.96514,                0.52771,                 1.3542,                 1.9037,                0.89479,              0.0004802,              0.0004802,              0.0004802
                     13,                 1.1895,                 1.2943,                0.95769,                0.94884,                0.89745,                0.98351,                0.57861,                 1.3487,                 1.6596,                0.89917,             0.00051683,             0.00051683,             0.00051683
                     14,                 1.3128,                0.95961,                0.92657,                0.99474,                0.95161,                 0.9909,                0.65188,                 1.2512,                  1.478,                0.88477,              0.0005532,              0.0005532,              0.0005532
                     15,                 1.1659,                0.87615,                0.89862,                      1,                0.96587,                0.99335,                0.67862,                 1.2298,                 1.3386,                 0.8924,             0.00058931,             0.00058931,             0.00058931
                     16,                 1.2522,                0.93084,                0.94417,                0.98984,                0.96774,                0.99346,                0.64841,                 1.3059,                 1.2573,                0.90749,             0.00062515,             0.00062515,             0.00062515
                     17,                  1.423,                0.94619,                0.95074,                0.96438,                0.96774,                0.99362,                0.66383,                  1.262,                  1.176,                0.89923,             0.00066073,             0.00066073,             0.00066073
                     18,                 1.1141,                0.84561,                0.91849,                0.95565,                0.95161,                0.99221,                 0.6681,                 1.2104,                 1.0878,                0.89001,             0.00069604,             0.00069604,             0.00069604
                     19,                 1.1246,                 0.8437,                0.95409,                0.94005,                0.95161,                0.99107,                0.66871,                 1.2219,                 1.0047,                0.89331,             0.00073109,             0.00073109,             0.00073109
                     20,                 1.2158,                0.82023,                 0.8981,                0.96696,                0.96774,                0.99101,                0.67875,                 1.1994,                0.90046,                0.88905,             0.00076588,             0.00076588,             0.00076588
                     21,                 1.5087,                0.97445,                0.90737,                0.96431,                0.98387,                0.99233,                0.66014,                 1.2878,                0.86071,                0.91026,              0.0008004,              0.0008004,              0.0008004
                     22,                 1.1206,                0.91776,                 1.0022,                0.98073,                0.98387,                0.99469,                 0.6808,                 1.2137,                 0.7891,                  0.891,             0.00083466,             0.00083466,             0.00083466
                     23,                 1.1418,                 1.0712,                0.97978,                      1,                0.99379,                  0.995,                0.71445,                  1.127,                 0.7743,                0.87068,             0.00086865,             0.00086865,             0.00086865
                     24,                 1.1472,                0.72064,                0.89989,                0.99659,                      1,                  0.995,                0.71348,                 1.1359,                0.76696,                 0.8701,             0.00090238,             0.00090238,             0.00090238
                     25,                 1.0909,                 0.8953,                0.97126,                0.99797,                      1,                  0.995,                 0.6993,                  1.154,                0.75054,                0.87073,             0.00093585,             0.00093585,             0.00093585
                     26,                  1.429,                 2.5001,                 1.1204,                0.99837,                      1,                  0.995,                0.67124,                 1.1916,                0.77203,                0.87759,             0.00096905,             0.00096905,             0.00096905
                     27,                 1.0171,                0.75552,                0.89912,                0.99837,                      1,                  0.995,                0.67124,                 1.1916,                0.77203,                0.87759,               0.001002,               0.001002,               0.001002
                     28,                 1.0328,                0.69565,                0.92603,                0.99634,                      1,                  0.995,                 0.6891,                 1.1831,                0.76983,                0.87729,              0.0010347,              0.0010347,              0.0010347
                     29,                 1.2186,                0.85857,                0.94454,                0.99778,                      1,                  0.995,                 0.6517,                 1.2757,                0.77917,                0.88889,              0.0010671,              0.0010671,              0.0010671
                     30,                 1.0885,                0.77594,                 0.9735,                0.99778,                      1,                  0.995,                 0.6517,                 1.2757,                0.77917,                0.88889,              0.0010992,              0.0010992,              0.0010992
                     31,                 1.1098,                0.81315,                0.94594,                0.99823,                      1,                  0.995,                0.63941,                 1.3068,                 0.7579,                0.88308,              0.0011311,              0.0011311,              0.0011311
                     32,                 1.1722,                0.76399,                0.90295,                0.99829,                      1,                  0.995,                0.65822,                 1.2466,                0.74479,                0.88322,              0.0011627,              0.0011627,              0.0011627
                     33,                 1.0795,                0.71642,                0.93047,                0.99829,                      1,                  0.995,                0.65822,                 1.2466,                0.74479,                0.88322,              0.0011941,              0.0011941,              0.0011941
                     34,                  1.118,                0.80438,                  1.011,                0.99835,                      1,                  0.995,                0.68106,                 1.1714,                0.73032,                0.86754,              0.0012252,              0.0012252,              0.0012252
                     35,                 1.2612,                0.85267,                0.93375,                0.99787,                      1,                  0.995,                0.68183,                 1.1863,                0.71419,                0.86769,               0.001256,               0.001256,               0.001256
                     36,                 1.2546,                0.73534,                0.93168,                0.99787,                      1,                  0.995,                0.68183,                 1.1863,                0.71419,                0.86769,              0.0012866,              0.0012866,              0.0012866
                     37,                 1.0564,                0.74474,                0.97334,                0.99769,                      1,                  0.995,                0.69313,                 1.1464,                0.70899,                 0.8691,              0.0013169,              0.0013169,              0.0013169
                     38,                 1.1215,                0.70298,                0.88997,                0.99804,                      1,                  0.995,                0.67465,                 1.1748,                0.72138,                0.88007,              0.0013469,              0.0013469,              0.0013469
                     39,                  1.194,                0.81643,                 0.9851,                0.99804,                      1,                  0.995,                0.67465,                 1.1748,                0.72138,                0.88007,              0.0013767,              0.0013767,              0.0013767
                     40,                 1.4946,                0.95171,                0.91815,                0.99806,                      1,                  0.995,                0.63688,                   1.31,                0.73418,                0.89635,              0.0014062,              0.0014062,              0.0014062
                     41,                 1.1115,                0.67209,                 0.8774,                0.99572,                      1,                  0.995,                0.67407,                 1.2048,                0.70406,                0.88582,              0.0014354,              0.0014354,              0.0014354
                     42,                 1.1046,                0.68474,                 0.8936,                0.99572,                      1,                  0.995,                0.67407,                 1.2048,                0.70406,                0.88582,              0.0014644,              0.0014644,              0.0014644
                     43,                 1.3188,                0.76998,                0.89523,                      1,                0.99844,                  0.995,                 0.7018,                 1.1064,                0.66367,                0.86494,              0.0014931,              0.0014931,              0.0014931
                     44,                 1.0527,                0.66885,                 0.9056,                      1,                0.99844,                  0.995,                 0.7018,                 1.1064,                0.66367,                0.86494,              0.0015215,              0.0015215,              0.0015215
                     45,                 1.2346,                  1.654,                 1.0245,                      1,                0.95125,                0.99345,                0.67235,                 1.1443,                0.69948,                0.86785,              0.0015497,              0.0015497,              0.0015497
                     46,                 1.1411,                0.78914,                 0.9014,                      1,                0.95125,                0.99345,                0.67235,                 1.1443,                0.69948,                0.86785,              0.0015777,              0.0015777,              0.0015777
                     47,                 1.4274,                0.80905,                0.89963,                0.95056,                0.93029,                0.98847,                0.68417,                 1.1256,                0.73567,                0.86541,              0.0016053,              0.0016053,              0.0016053
                     48,                 1.1423,                 1.2439,                0.99705,                0.95056,                0.93029,                0.98847,                0.68417,                 1.1256,                0.73567,                0.86541,              0.0016327,              0.0016327,              0.0016327
                     49,                 1.1588,                0.80184,                0.88562,                0.91084,                0.98873,                 0.9887,                0.68334,                 1.1234,                0.79134,                0.86811,              0.0016598,              0.0016598,              0.0016598
                     50,                  1.103,                0.73798,                0.92638,                0.91084,                0.98873,                 0.9887,                0.68334,                 1.1234,                0.79134,                0.86811,                0.00167,                0.00167,                0.00167
                     51,                 1.2936,                0.73802,                0.90174,                0.94304,                0.98387,                0.99197,                0.68065,                 1.1588,                0.83379,                0.86366,                0.00167,                0.00167,                0.00167
                     52,                 1.1623,                0.72524,                0.92566,                0.94304,                0.98387,                0.99197,                0.68065,                 1.1588,                0.83379,                0.86366,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.0949,                0.69964,                0.91236,                0.97477,                      1,                0.99373,                0.66655,                 1.2221,                0.75678,                0.87071,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.2573,                0.71267,                0.89797,                0.97477,                      1,                0.99373,                0.66655,                 1.2221,                0.75678,                0.87071,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.0651,                0.67989,                0.90813,                0.99969,                      1,                  0.995,                0.70506,                 1.1527,                0.67072,                0.86931,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.1809,                0.71381,                0.88698,                0.99969,                      1,                  0.995,                0.70506,                 1.1527,                0.67072,                0.86931,               0.001637,               0.001637,               0.001637
                     57,                  1.034,                0.66507,                0.88315,                      1,                0.99822,                  0.995,                0.67962,                 1.1448,                0.67851,                0.86516,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.1703,                0.68797,                0.89764,                      1,                0.99822,                  0.995,                0.67962,                 1.1448,                0.67851,                0.86516,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.0322,                0.81132,                0.90919,                0.99654,                      1,                  0.995,                0.66966,                 1.1435,                0.67871,                0.86759,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.2377,                0.69763,                0.88928,                0.99654,                      1,                  0.995,                0.66966,                 1.1435,                0.67871,                0.86759,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.1435,                0.75693,                0.96776,                      1,                0.99818,                  0.995,                0.68424,                 1.1243,                 0.6778,                0.86551,               0.001604,               0.001604,               0.001604
                     62,                 1.1318,                0.66625,                 0.9071,                      1,                0.99818,                  0.995,                0.68424,                 1.1243,                 0.6778,                0.86551,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.2353,                0.75932,                0.99031,                      1,                0.99919,                  0.995,                0.68774,                 1.1366,                0.65871,                0.86026,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0097,                0.63345,                0.91178,                      1,                0.99919,                  0.995,                0.68774,                 1.1366,                0.65871,                0.86026,              0.0015842,              0.0015842,              0.0015842
                     65,                0.99159,                 1.0033,                0.91792,                0.96503,                      1,                 0.9942,                0.66534,                 1.2355,                0.69635,                0.87219,              0.0015776,              0.0015776,              0.0015776
                     66,                0.98119,                 0.6809,                0.93766,                0.96503,                      1,                 0.9942,                0.66534,                 1.2355,                0.69635,                0.87219,               0.001571,               0.001571,               0.001571
                     67,                 1.1209,                 0.6676,                0.88469,                0.98385,                 0.9828,                0.99405,                0.67123,                 1.2065,                0.70396,                0.87166,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.0784,                0.70297,                0.87774,                0.98385,                 0.9828,                0.99405,                0.67123,                 1.2065,                0.70396,                0.87166,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.0475,                0.66345,                0.91279,                0.97642,                0.98387,                0.99436,                0.67304,                 1.1778,                0.71112,                0.86634,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.0582,                0.62008,                0.87319,                0.97642,                0.98387,                0.99436,                0.67304,                 1.1778,                0.71112,                0.86634,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.0503,                0.64241,                0.90076,                      1,                0.99882,                  0.995,                0.68491,                 1.1173,                0.64653,                0.85783,               0.001538,               0.001538,               0.001538
                     72,                 1.0876,                 0.6337,                0.88384,                      1,                0.99882,                  0.995,                0.68491,                 1.1173,                0.64653,                0.85783,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.0365,                0.65653,                0.90109,                0.99812,                      1,                  0.995,                0.70171,                 1.1303,                0.63666,                0.86026,              0.0015248,              0.0015248,              0.0015248
