                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5958,                 3.3878,                 1.3136,                      0,                      0,                      0,                      0,                 1.9335,                 3.4485,                 1.5662,                      0,                      0,                      0
                      1,                 1.5274,                  3.436,                  1.258,                      0,                      0,                      0,                      0,                 1.9138,                 3.4562,                 1.5568,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 1.4971,                  3.412,                 1.2336,                      0,                      0,                      0,                      0,                 1.8518,                 3.4317,                 1.5231,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 1.4695,                  3.409,                 1.2314,                      0,                      0,                      0,                      0,                 1.7158,                 3.4343,                 1.4463,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.3374,                 3.3745,                 1.1812,                      0,                      0,                      0,                      0,                 1.5722,                 3.4174,                 1.3598,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.2399,                 3.2878,                  1.153,                      0,                      0,                      0,                      0,                 1.5071,                 3.3416,                   1.27,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 1.3255,                 3.0343,                 1.1458,                      0,                      0,                      0,                      0,                 1.4165,                 3.3054,                 1.2187,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.1674,                 2.7646,                 1.0576,                      0,                      0,                      0,                      0,                 1.5205,                 3.0598,                 1.0665,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.2221,                 2.4762,                 1.0349,                      0,                      0,                      0,                      0,                 1.5161,                 2.9857,                 1.0244,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.1715,                 2.1735,                0.99598,                      0,                      0,                      0,                      0,                 1.4573,                 2.9723,                 1.0175,             0.00016396,             0.00016396,             0.00016396
                     10,                 1.2202,                  1.926,                 1.0337,                      0,                      0,                      0,                      0,                 1.3221,                 2.9434,                0.98684,              0.0001802,              0.0001802,              0.0001802
                     11,                 1.3487,                 1.8942,                 1.0035,                      0,                      0,                      0,                      0,                 1.1372,                 2.8708,                0.94084,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.2762,                 1.6806,                 1.0057,                      0,                      0,                      0,                      0,                 1.0953,                 2.7915,                0.94962,             0.00021149,             0.00021149,             0.00021149
