                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6453,                 3.3934,                 1.3334,                      0,                      0,                      0,                      0,                 1.4424,                 3.0617,                 1.1745,                      0,                      0,                      0
                      1,                 1.5474,                 3.4527,                 1.2556,                      0,                      0,                      0,                      0,                 1.4103,                 3.0665,                 1.1757,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 1.5052,                 3.4308,                 1.2358,                      0,                      0,                      0,                      0,                  1.358,                 3.0687,                  1.163,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 1.4896,                 3.4202,                  1.253,                      0,                      0,                      0,                      0,                 1.3205,                 3.0562,                  1.137,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.3591,                 3.3711,                 1.1781,                      0,                      0,                      0,                      0,                 1.2511,                  3.026,                 1.1019,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.2571,                 3.2586,                 1.1454,                      0,                      0,                      0,                      0,                 1.1867,                 3.0155,                 1.0751,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                 1.3199,                 3.0332,                 1.1343,                      0,                      0,                      0,                      0,                 1.1787,                 2.9692,                 1.0478,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.1984,                 2.7627,                 1.0556,                      0,                      0,                      0,                      0,                 1.2005,                 2.9752,                 1.0303,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.2654,                 2.4667,                 1.0341,                      0,                      0,                      0,                      0,                 1.1859,                 2.9676,                 1.0248,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.1779,                 2.1639,                0.99499,                      0,                      0,                      0,                      0,                 1.1304,                 2.9278,                 1.0055,             0.00016396,             0.00016396,             0.00016396
                     10,                 1.2098,                 1.8862,                 1.0276,                      0,                      0,                      0,                      0,                0.99304,                 2.7839,                0.95125,              0.0001802,              0.0001802,              0.0001802
                     11,                 1.4078,                 1.8671,                 1.0198,                      0,                      0,                      0,                      0,                0.96646,                 2.7132,                0.94746,             0.00019604,             0.00019604,             0.00019604
