                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8616,                 3.6589,                 1.1473,                0.03333,                0.34483,                0.02423,                0.01199,                 1.7414,                 3.5106,                 1.0466,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.5954,                  3.463,                 1.1447,                   0.07,                0.72414,                0.08027,                0.04099,                 1.5759,                 3.4306,                0.97938,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.5934,                 3.5189,                  1.156,                0.09667,                      1,                0.21743,                0.11898,                  1.427,                 3.3504,                0.94057,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                  1.443,                  3.392,                 1.0378,                0.09667,                      1,                0.22676,                0.13384,                 1.4034,                  3.312,                 0.9362,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.2569,                 2.8815,                0.98932,                0.09667,                      1,                0.21581,                0.13011,                 1.3596,                 3.2492,                0.92429,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.6599,                  2.588,                 1.0148,                0.09667,                      1,                0.24453,                0.14125,                 1.2589,                 3.2069,                0.90488,             0.00021637,             0.00021637,             0.00021637
                      6,                 1.6583,                 2.0515,                  1.045,                0.09667,                      1,                0.23862,                0.12165,                 1.1943,                 3.1716,                0.88753,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.7205,                 2.0114,                 1.2049,                0.09667,                      1,                0.91997,                0.56017,                 1.2184,                 2.8474,                0.87663,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.3634,                 1.8114,                  1.046,                0.09667,                      1,                0.98381,                0.65458,                  1.192,                 2.6703,                0.86833,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.4363,                  1.497,                 1.1012,                      1,                0.78736,                0.98641,                0.67877,                  1.165,                 2.5311,                0.86087,             0.00036871,             0.00036871,             0.00036871
                     10,                 1.2434,                 1.2521,                0.91158,                      1,                0.53783,                0.98817,                0.62222,                  1.201,                 2.4397,                0.86356,             0.00040614,             0.00040614,             0.00040614
                     11,                 1.2066,                 1.1644,                0.93182,                      1,                0.56742,                0.98641,                0.55304,                 1.2682,                 2.4111,                0.87229,              0.0004433,              0.0004433,              0.0004433
                     12,                 1.2148,                 1.0018,                0.95866,                      1,                0.54866,                0.97164,                0.55207,                  1.269,                  2.388,                0.87666,              0.0004802,              0.0004802,              0.0004802
                     13,                 1.2042,                 1.3009,                0.96445,                      1,                0.55703,                0.96726,                0.60748,                 1.2222,                 2.3679,                0.87033,             0.00051683,             0.00051683,             0.00051683
                     14,                 1.5665,                 1.1193,                0.92551,                0.98222,                0.72414,                0.92492,                 0.5822,                 1.2123,                 2.4257,                0.88718,              0.0005532,              0.0005532,              0.0005532
                     15,                 1.1961,                0.92732,                0.89716,                      1,                 0.8259,                0.96095,                0.68482,                 1.1757,                 2.0713,                0.87264,             0.00058931,             0.00058931,             0.00058931
                     16,                  1.235,                0.90713,                0.93877,                0.99322,                0.89655,                0.96678,                0.61229,                 1.2338,                 1.9028,                 0.8738,             0.00062515,             0.00062515,             0.00062515
                     17,                 1.3153,                  0.909,                0.89749,                  0.996,                0.93103,                0.98813,                0.56012,                 1.2627,                 1.6807,                0.88449,             0.00066073,             0.00066073,             0.00066073
                     18,                 1.1224,                0.83898,                0.91953,                 0.9717,                0.93103,                0.99033,                 0.5982,                 1.2483,                 1.4197,                0.89444,             0.00069604,             0.00069604,             0.00069604
                     19,                 1.0974,                0.87655,                0.95215,                0.96513,                0.95473,                0.99203,                0.66901,                  1.162,                 1.1912,                0.89458,             0.00073109,             0.00073109,             0.00073109
                     20,                 1.2025,                0.83754,                0.89114,                      1,                0.95381,                  0.994,                0.67751,                 1.1702,                 1.0362,                0.90593,             0.00076588,             0.00076588,             0.00076588
                     21,                 1.5531,                0.96474,                0.91363,                      1,                0.96178,                  0.994,                 0.6897,                 1.1559,                0.93918,                0.90398,              0.0008004,              0.0008004,              0.0008004
                     22,                  1.119,                0.93344,                 1.0015,                      1,                0.99452,                  0.995,                0.69562,                 1.1166,                0.85999,                0.89818,             0.00083466,             0.00083466,             0.00083466
                     23,                 1.2465,                 1.3971,                  1.087,                 0.9953,                      1,                  0.995,                0.68728,                 1.1197,                  0.793,                0.89632,             0.00086865,             0.00086865,             0.00086865
                     24,                 1.1782,                0.72786,                0.92203,                0.99737,                      1,                  0.995,                0.62533,                 1.2794,                0.78552,                0.93729,             0.00090238,             0.00090238,             0.00090238
                     25,                 1.1254,                0.86916,                0.97026,                0.99764,                      1,                  0.995,                0.61098,                 1.3328,                0.77042,                0.95034,             0.00093585,             0.00093585,             0.00093585
