                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9213,                 3.6522,                 1.1509,                0.00667,                0.03846,                 0.0036,                 0.0027,                 1.9177,                 3.6093,                 1.1814,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.6415,                 3.5395,                 1.1786,                   0.03,                0.17308,                 0.0181,                0.00771,                 1.6289,                 3.5919,                 1.0765,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.5258,                 3.4659,                 1.1282,                   0.11,                0.63462,                0.10849,                0.05293,                 1.4763,                 3.4841,                0.98604,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                  1.578,                 3.3806,                 1.0351,                0.17333,                      1,                0.25351,                 0.1308,                 1.3787,                 3.3918,                0.93849,             0.00013861,             0.00013861,             0.00013861
                      4,                  1.272,                 3.0241,                 1.0314,                0.17333,                      1,                0.22398,                0.13195,                 1.2585,                 3.3262,                 0.9167,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.8076,                 2.6525,                 1.0325,                0.17333,                      1,                0.27365,                0.13624,                 1.2497,                 3.2625,                0.91531,             0.00021637,             0.00021637,             0.00021637
                      6,                 1.4046,                 2.1183,                0.94783,                0.17333,                      1,                0.29716,                0.14149,                 1.2951,                 3.1799,                0.93038,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.6112,                 1.8016,                 1.0671,                0.17333,                      1,                0.83491,                0.48817,                 1.2815,                 2.8127,                0.89949,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.2534,                 1.7076,                0.97398,                0.17333,                      1,                0.96592,                0.54926,                 1.2813,                 2.6316,                0.90238,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.3008,                 1.3217,                 1.0182,                0.17333,                      1,                0.99071,                0.54254,                 1.3192,                 2.4848,                0.90062,             0.00036871,             0.00036871,             0.00036871
                     10,                 1.5908,                 1.3761,                 1.1407,                0.88733,                      1,                0.98743,                0.51851,                 1.4273,                 2.2705,                0.91822,             0.00040614,             0.00040614,             0.00040614
                     11,                 1.1833,                 1.1852,                0.90587,                      1,                0.74105,                0.98781,                0.54837,                 1.4524,                 2.0109,                0.93296,              0.0004433,              0.0004433,              0.0004433
                     12,                 1.3039,                0.95616,                0.97799,                0.98303,                0.78846,                0.98826,                0.59205,                 1.3148,                 1.8313,                0.91848,              0.0004802,              0.0004802,              0.0004802
                     13,                 1.2089,                 1.2507,                0.93788,                0.97829,                0.86651,                0.98972,                0.60324,                 1.2797,                 1.6507,                0.91353,             0.00051683,             0.00051683,             0.00051683
                     14,                 1.3244,                 0.9397,                0.93077,                0.95766,                0.86997,                0.98751,                0.61328,                 1.3549,                 1.5647,                0.92896,              0.0005532,              0.0005532,              0.0005532
                     15,                 1.1358,                0.87605,                0.90122,                0.99715,                0.96154,                0.99358,                0.63337,                 1.3295,                 1.4071,                0.93499,             0.00058931,             0.00058931,             0.00058931
                     16,                 1.2935,                0.84834,                0.96027,                      1,                0.97169,                0.99243,                0.62474,                 1.3572,                 1.2637,                 0.9587,             0.00062515,             0.00062515,             0.00062515
                     17,                 1.4332,                 1.0811,                0.95656,                      1,                0.97254,                0.98772,                0.60619,                 1.3897,                 1.1768,                 0.9801,             0.00066073,             0.00066073,             0.00066073
                     18,                 1.1657,                0.88647,                0.93698,                      1,                0.97768,                0.98749,                 0.6557,                 1.2184,                 1.1083,                0.94227,             0.00069604,             0.00069604,             0.00069604
                     19,                 1.1197,                0.76173,                0.92742,                      1,                0.94109,                0.98718,                0.65014,                 1.2222,                 1.0988,                 0.9231,             0.00073109,             0.00073109,             0.00073109
                     20,                 1.2247,                0.79902,                0.88057,                      1,                0.94537,                0.98763,                0.64698,                 1.2404,                 1.0901,                0.92086,             0.00076588,             0.00076588,             0.00076588
                     21,                 1.5922,                0.97351,                0.94114,                0.99814,                0.96154,                0.98741,                0.62879,                 1.3168,                 1.0872,                0.93712,              0.0008004,              0.0008004,              0.0008004
                     22,                  1.221,                0.94031,                0.97293,                0.98481,                0.94231,                0.99103,                0.64447,                 1.3109,                 1.0814,                0.93002,             0.00083466,             0.00083466,             0.00083466
                     23,                 1.1499,                0.89783,                0.97164,                      1,                0.95373,                0.99321,                0.67374,                 1.2266,                0.96846,                0.90499,             0.00086865,             0.00086865,             0.00086865
                     24,                 1.1528,                0.90507,                0.95636,                      1,                0.97935,                0.99463,                0.68424,                 1.1868,                0.81012,                0.90262,             0.00090238,             0.00090238,             0.00090238
                     25,                 1.2123,                0.73436,                0.98955,                0.99955,                      1,                  0.995,                0.68154,                 1.1888,                0.75301,                0.90779,             0.00093585,             0.00093585,             0.00093585
                     26,                 1.4635,                 2.4457,                  1.186,                0.99689,                      1,                  0.995,                0.68053,                 1.2218,                0.81523,                0.92036,             0.00096905,             0.00096905,             0.00096905
                     27,                 1.0274,                0.71845,                0.89125,                0.99689,                      1,                  0.995,                0.68053,                 1.2218,                0.81523,                0.92036,               0.001002,               0.001002,               0.001002
                     28,                   1.08,                0.71994,                0.91446,                0.94985,                      1,                0.99275,                0.64017,                 1.2769,                0.94212,                0.92388,              0.0010347,              0.0010347,              0.0010347
