                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6919,                  3.388,                 1.3346,                      0,                      0,                      0,                      0,                 1.7946,                 3.0671,                 1.2808,                      0,                      0,                      0
                      1,                 1.4758,                 3.4358,                 1.2429,                      0,                      0,                      0,                      0,                 1.7741,                 3.0587,                 1.2736,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 1.5757,                 3.4468,                 1.2885,                      0,                      0,                      0,                      0,                 1.6839,                 3.0557,                 1.2496,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 1.4054,                 3.4634,                 1.2138,                      0,                      0,                      0,                      0,                 1.5977,                 3.0388,                 1.2155,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.3633,                 3.4062,                 1.1852,                      0,                      0,                      0,                      0,                 1.4985,                 3.0223,                 1.1782,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.2852,                 3.3069,                 1.1559,                      0,                      0,                      0,                      0,                  1.425,                 2.9971,                 1.1503,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                  1.287,                 3.0924,                 1.1167,                      0,                      0,                      0,                      0,                 1.4076,                 2.9789,                 1.1398,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.1714,                 2.8253,                 1.0744,                      0,                      0,                      0,                      0,                 1.4016,                 2.9545,                 1.1327,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.2117,                 2.5214,                 1.0555,                      0,                      0,                      0,                      0,                 1.3407,                  2.927,                 1.1115,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.1067,                 2.2134,                0.98909,                      0,                      0,                      0,                      0,                 1.3048,                 2.9104,                 1.0892,             0.00016396,             0.00016396,             0.00016396
                     10,                 1.1486,                 1.8289,                0.99466,                      0,                      0,                      0,                      0,                 1.3586,                 2.8962,                 1.0973,              0.0001802,              0.0001802,              0.0001802
                     11,                 1.3292,                 1.9274,                 1.0247,                      0,                      0,                      0,                      0,                 1.3875,                  2.855,                 1.1082,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.3689,                 1.5377,                 1.0374,                      0,                      0,                      0,                      0,                 1.4278,                 2.8043,                 1.1391,             0.00021149,             0.00021149,             0.00021149
                     13,                 1.1579,                 1.4343,                 1.0027,                      0,                      0,                      0,                      0,                  1.447,                 2.7281,                 1.1611,             0.00022654,             0.00022654,             0.00022654
                     14,                 1.1876,                  1.125,                0.98164,                      0,                      0,                      0,                      0,                 1.4149,                 2.6626,                 1.1575,             0.00024119,             0.00024119,             0.00024119
                     15,                  1.121,                 1.0371,                0.98662,                      0,                      0,                      0,                      0,                 1.3687,                 2.5855,                 1.1395,             0.00025545,             0.00025545,             0.00025545
                     16,                 1.0057,                0.90799,                0.95043,                      0,                      0,                      0,                      0,                 1.3802,                 2.4696,                 1.1211,             0.00026931,             0.00026931,             0.00026931
                     17,                 1.0703,                0.91841,                0.98926,                      0,                      0,                      0,                      0,                 1.3802,                 2.4696,                 1.1211,             0.00028278,             0.00028278,             0.00028278
                     18,                 1.0556,                0.88837,                0.98777,                      0,                      0,                      0,                      0,                 1.4481,                 2.2994,                 1.1183,             0.00029585,             0.00029585,             0.00029585
                     19,                 1.1224,                0.88287,                0.97134,                      0,                      0,                      0,                      0,                 1.4481,                 2.2994,                 1.1183,             0.00030852,             0.00030852,             0.00030852
                     20,                 1.0739,                0.95812,                 1.0071,                      0,                      0,                      0,                      0,                 1.4618,                  2.094,                 1.0864,              0.0003208,              0.0003208,              0.0003208
                     21,                 1.0107,                 0.8924,                0.99759,                      0,                      0,                      0,                      0,                 1.4618,                  2.094,                 1.0864,             0.00033268,             0.00033268,             0.00033268
                     22,                0.96183,                0.86047,                0.97904,                      0,                      0,                      0,                      0,                 1.4131,                 1.8795,                 1.0746,             0.00034417,             0.00034417,             0.00034417
                     23,                0.99719,                 1.0501,                 1.0157,                      0,                      0,                      0,                      0,                 1.4131,                 1.8795,                 1.0746,             0.00035526,             0.00035526,             0.00035526
                     24,                 1.0133,                 1.0173,                0.95195,                      0,                      0,                      0,                      0,                 1.3318,                 1.6629,                 1.0509,             0.00036595,             0.00036595,             0.00036595
                     25,                0.98086,                0.86196,                 0.9675,                      0,                      0,                      0,                      0,                 1.3318,                 1.6629,                 1.0509,             0.00037625,             0.00037625,             0.00037625
                     26,                 1.0159,                0.80964,                0.99561,                      0,                      0,                      0,                      0,                 1.2872,                 1.4718,                 1.0519,             0.00038615,             0.00038615,             0.00038615
                     27,                0.98582,                0.80759,                0.95605,                      0,                      0,                      0,                      0,                 1.2872,                 1.4718,                 1.0519,             0.00039566,             0.00039566,             0.00039566
                     28,                0.99368,                0.84456,                0.97311,                      1,                  0.125,                0.56249,                 0.3078,                 1.2906,                 1.3895,                  1.051,             0.00040477,             0.00040477,             0.00040477
                     29,                 1.0665,                0.82512,                0.97568,                      1,                  0.125,                0.56249,                 0.3078,                 1.2906,                 1.3895,                  1.051,             0.00041348,             0.00041348,             0.00041348
                     30,                0.98538,                0.81516,                0.97675,                      1,                 0.1875,                0.59374,                 0.4052,                 1.3731,                 1.4164,                  1.079,              0.0004218,              0.0004218,              0.0004218
                     31,                 1.0251,                0.83005,                0.93112,                      1,                 0.1875,                0.59374,                 0.4052,                 1.3731,                 1.4164,                  1.079,             0.00042972,             0.00042972,             0.00042972
                     32,                0.99323,                0.82488,                0.96224,                      1,                 0.1875,                0.59374,                0.38749,                  1.494,                  1.487,                 1.1352,             0.00043725,             0.00043725,             0.00043725
                     33,                0.97676,                 0.8172,                0.96256,                      1,                 0.1875,                0.59374,                0.38749,                  1.494,                  1.487,                 1.1352,             0.00044438,             0.00044438,             0.00044438
                     34,                 1.0284,                0.84237,                0.96268,                      1,                 0.0625,                0.53124,                0.31874,                 1.5977,                 1.6611,                 1.1891,             0.00045111,             0.00045111,             0.00045111
                     35,                0.93708,                 0.7907,                0.92882,                      1,                 0.0625,                0.53124,                0.31874,                 1.5977,                 1.6611,                 1.1891,             0.00045745,             0.00045745,             0.00045745
