                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9267,                 3.6453,                 1.1572,                   0.01,                0.06122,                 0.0058,                0.00322,                 1.6621,                 3.6095,                 1.0859,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.6665,                 3.5496,                  1.188,                0.03667,                0.22449,                0.02414,                0.01375,                 1.5035,                 3.5644,                 1.0318,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                 1.6435,                 3.5295,                 1.1628,                0.13667,                0.83673,                0.19564,                 0.0903,                 1.3604,                 3.4288,                0.95742,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                 1.5579,                  3.384,                  1.028,                   0.16,                0.97959,                0.23625,                0.12503,                 1.2553,                 3.3759,                0.91974,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.2442,                 3.0452,                 1.0263,                0.16333,                      1,                0.21943,                0.12721,                 1.2074,                 3.3124,                0.91051,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.7833,                 2.6663,                 1.0256,                0.16333,                      1,                0.33026,                0.13873,                 1.2544,                 3.2769,                0.91894,             0.00021637,             0.00021637,             0.00021637
                      6,                 1.6224,                 2.1022,                 1.0635,                   0.16,                0.97959,                0.20603,                0.07423,                 1.3099,                 3.2879,                0.94175,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.5467,                 1.8145,                 1.0507,                0.16333,                      1,                0.35153,                0.17573,                 1.3125,                 2.9878,                0.92496,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.2706,                 1.7395,                0.98139,                0.16333,                      1,                0.84042,                0.51801,                 1.2013,                 2.7952,                0.89834,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.3102,                  1.369,                 1.0137,                0.16333,                      1,                0.96199,                0.59355,                 1.1847,                 2.5578,                0.88115,             0.00036871,             0.00036871,             0.00036871
                     10,                  1.474,                 1.1496,                 1.0374,                 0.8857,                      1,                  0.972,                0.56954,                  1.256,                 2.3074,                0.88222,             0.00040614,             0.00040614,             0.00040614
                     11,                 1.1634,                 1.1245,                0.90193,                0.97433,                0.77469,                0.97952,                0.57642,                 1.2406,                 2.0307,                 0.8815,              0.0004433,              0.0004433,              0.0004433
                     12,                 1.3097,                0.97528,                0.97094,                0.96268,                0.97959,                0.98282,                0.61133,                 1.1355,                  1.757,                0.87903,              0.0004802,              0.0004802,              0.0004802
                     13,                 1.2365,                 1.2698,                0.93971,                0.92938,                0.97959,                0.98393,                0.63057,                 1.1543,                 1.5268,                0.88699,             0.00051683,             0.00051683,             0.00051683
                     14,                 1.3586,                 1.0173,                0.93049,                0.94595,                0.97959,                0.98618,                0.58702,                 1.3251,                 1.4602,                0.91826,              0.0005532,              0.0005532,              0.0005532
                     15,                 1.1985,                0.87293,                0.90971,                0.95829,                0.93777,                 0.9842,                0.57035,                 1.3222,                 1.3556,                 0.9376,             0.00058931,             0.00058931,             0.00058931
                     16,                 1.3273,                0.86615,                0.96755,                0.95867,                0.94681,                0.97913,                0.62012,                 1.2935,                 1.2357,                0.95253,             0.00062515,             0.00062515,             0.00062515
                     17,                  1.469,                  1.112,                0.96029,                0.94625,                0.93878,                0.96808,                0.61354,                 1.2673,                 1.1829,                0.94796,             0.00066073,             0.00066073,             0.00066073
                     18,                 1.1341,                0.81655,                0.92211,                0.95824,                0.93661,                0.96698,                0.67731,                 1.1609,                 1.1508,                 0.9207,             0.00069604,             0.00069604,             0.00069604
                     19,                 1.1561,                0.78507,                0.93418,                0.95789,                 0.9286,                0.96331,                0.66541,                 1.1669,                 1.1754,                 0.9223,             0.00073109,             0.00073109,             0.00073109
                     20,                 1.2062,                0.81098,                0.87905,                0.92117,                0.93878,                0.96422,                0.62942,                 1.2304,                   1.11,                0.94581,             0.00076588,             0.00076588,             0.00076588
                     21,                 1.5425,                0.95608,                0.92517,                0.91224,                0.95918,                0.97615,                0.61164,                  1.317,                 1.0248,                0.97526,              0.0008004,              0.0008004,              0.0008004
                     22,                 1.1723,                 0.9798,                0.95868,                0.96596,                0.89796,                  0.974,                0.64561,                 1.2073,                0.94349,                0.94029,             0.00083466,             0.00083466,             0.00083466
