                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9216,                 3.6473,                 1.1604,                   0.02,                0.12245,                0.01231,                 0.0038,                 1.8352,                 3.5903,                 1.2033,                  2e-05,                  2e-05,                  2e-05
                      1,                 1.6696,                 3.5393,                 1.1808,                0.07667,                0.46939,                0.06038,                0.02708,                 1.6743,                 3.5186,                 1.1096,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      2,                  1.646,                 3.5226,                 1.1591,                0.15667,                0.95918,                0.21684,                0.11741,                 1.4352,                 3.3442,                 1.0029,              9.934e-05,              9.934e-05,              9.934e-05
                      3,                 1.5989,                 3.3825,                  1.039,                0.16333,                      1,                0.24609,                 0.1147,                 1.3853,                  3.329,                0.96722,             0.00013861,             0.00013861,             0.00013861
                      4,                 1.3109,                 2.8478,                  1.002,                0.16333,                      1,                0.22505,                0.11528,                 1.2589,                 3.2953,                0.92757,             0.00017762,             0.00017762,             0.00017762
                      5,                 1.7183,                 2.6087,                 1.0044,                0.16333,                      1,                0.25153,                0.12066,                 1.2302,                  3.268,                0.92729,             0.00021637,             0.00021637,             0.00021637
                      6,                 1.6451,                  2.089,                 1.0605,                0.15667,                0.95918,                0.36266,                0.11043,                 1.4473,                 3.2391,                 1.0025,             0.00025485,             0.00025485,             0.00025485
                      7,                 1.4765,                 1.8683,                 1.0235,                0.16333,                      1,                0.79961,                0.30892,                 1.4104,                 2.9272,                0.96881,             0.00029307,             0.00029307,             0.00029307
                      8,                 1.3256,                 1.8302,                0.99939,                0.16333,                      1,                0.96109,                 0.5077,                 1.3103,                 2.7497,                0.92996,             0.00033102,             0.00033102,             0.00033102
                      9,                 1.3564,                 1.5411,                 1.0425,                0.16333,                      1,                0.98031,                0.55157,                 1.2665,                 2.5519,                0.90037,             0.00036871,             0.00036871,             0.00036871
                     10,                 1.3651,                 1.1396,                0.99329,                0.94204,                0.99511,                0.98853,                0.49491,                 1.3433,                 2.3885,                 0.9128,             0.00040614,             0.00040614,             0.00040614
                     11,                 1.1518,                 1.1324,                0.89769,                0.99532,                0.87755,                 0.9906,                0.51252,                 1.3894,                 2.1467,                0.92577,              0.0004433,              0.0004433,              0.0004433
                     12,                 1.2577,                0.97269,                0.95928,                 0.9391,                0.94419,                0.99071,                0.58381,                  1.229,                 1.8581,                0.90005,              0.0004802,              0.0004802,              0.0004802
                     13,                 1.2129,                 1.2956,                0.95602,                0.97933,                0.96683,                 0.9934,                0.63197,                 1.0981,                 1.6295,                0.87595,             0.00051683,             0.00051683,             0.00051683
                     14,                 1.3377,                 1.0259,                0.93135,                0.97921,                0.96137,                  0.993,                0.65884,                 1.0752,                   1.52,                0.88068,              0.0005532,              0.0005532,              0.0005532
                     15,                  1.146,                0.86641,                0.89741,                0.99801,                0.93878,                 0.9938,                0.66106,                 1.1673,                 1.4407,                0.92828,             0.00058931,             0.00058931,             0.00058931
                     16,                 1.2932,                0.95314,                0.94522,                 0.9768,                0.97959,                0.99217,                 0.5611,                 1.3563,                 1.3792,                 1.0006,             0.00062515,             0.00062515,             0.00062515
                     17,                 1.4562,                0.92024,                0.93611,                0.97862,                0.93404,                0.99095,                0.58506,                 1.3168,                 1.3803,                 0.9899,             0.00066073,             0.00066073,             0.00066073
                     18,                 1.0854,                0.83872,                 0.9112,                0.96844,                0.93878,                0.98712,                  0.648,                 1.1628,                 1.3501,                0.93205,             0.00069604,             0.00069604,             0.00069604
                     19,                 1.1424,                0.85163,                0.95089,                0.97658,                0.95918,                0.98769,                0.69957,                 1.0543,                 1.3115,                0.90402,             0.00073109,             0.00073109,             0.00073109
                     20,                 1.2487,                0.82389,                0.88831,                0.96278,                0.95918,                0.98936,                0.68338,                 1.0936,                 1.2309,                0.92939,             0.00076588,             0.00076588,             0.00076588
                     21,                 1.5248,                0.97348,                0.90632,                0.97953,                0.97683,                 0.9938,                0.67244,                 1.1985,                 1.0903,                0.97069,              0.0008004,              0.0008004,              0.0008004
                     22,                 1.1616,                0.93326,                0.97219,                0.97373,                      1,                 0.9942,                0.68112,                 1.2233,                0.89196,                0.96606,             0.00083466,             0.00083466,             0.00083466
                     23,                 1.1933,                 1.1029,                0.99168,                0.97239,                      1,                 0.9942,                 0.7001,                  1.151,                0.79999,                0.92016,             0.00086865,             0.00086865,             0.00086865
                     24,                 1.1543,                0.72443,                0.90352,                0.99483,                      1,                  0.995,                0.67708,                 1.2683,                0.74853,                0.94746,             0.00090238,             0.00090238,             0.00090238
                     25,                 1.0874,                 0.8627,                 0.9614,                0.99797,                      1,                  0.995,                0.69062,                 1.2415,                0.73226,                0.94782,             0.00093585,             0.00093585,             0.00093585
                     26,                 1.3666,                 2.1631,                 1.1647,                      1,                0.99785,                  0.995,                0.70086,                 1.2299,                0.76661,                0.95969,             0.00096905,             0.00096905,             0.00096905
                     27,                0.99226,                0.72975,                 0.8932,                      1,                0.99785,                  0.995,                0.70086,                 1.2299,                0.76661,                0.95969,               0.001002,               0.001002,               0.001002
                     28,                 1.0528,                0.71224,                0.92787,                0.99945,                      1,                  0.995,                0.65595,                 1.3034,                0.73283,                 1.0062,              0.0010347,              0.0010347,              0.0010347
                     29,                 1.2069,                0.87903,                0.94224,                0.99829,                      1,                  0.995,                0.64155,                 1.3556,                0.71747,                   1.03,              0.0010671,              0.0010671,              0.0010671
                     30,                 1.0454,                0.76409,                0.96356,                0.99829,                      1,                  0.995,                0.64155,                 1.3556,                0.71747,                   1.03,              0.0010992,              0.0010992,              0.0010992
                     31,                 1.0854,                0.81542,                0.92764,                0.99762,                      1,                  0.995,                0.65769,                 1.2467,                0.69425,                0.97994,              0.0011311,              0.0011311,              0.0011311
