                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6153,                 3.4065,                 1.3154,                      0,                      0,                      0,                      0,                 1.7657,                 3.1849,                 1.5095,                      0,                      0,                      0
                      1,                 1.5271,                 3.4332,                 1.2513,                      0,                      0,                      0,                      0,                 1.6954,                 3.1789,                 1.4819,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      2,                 1.5103,                   3.42,                 1.2321,                      0,                      0,                      0,                      0,                 1.6535,                 3.1772,                 1.4881,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      3,                 1.4699,                 3.4132,                 1.2222,                      0,                      0,                      0,                      0,                 1.5505,                 3.1574,                 1.4262,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      4,                 1.3414,                 3.3808,                 1.1744,                      0,                      0,                      0,                      0,                 1.4501,                 3.0948,                 1.3408,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      5,                 1.2304,                 3.2811,                 1.1396,                      0,                      0,                      0,                      0,                 1.4434,                 3.0429,                 1.2948,              9.505e-05,              9.505e-05,              9.505e-05
                      6,                  1.308,                 3.0187,                 1.1253,                      0,                      0,                      0,                      0,                 1.3549,                 3.0366,                 1.1681,             0.00011287,             0.00011287,             0.00011287
                      7,                 1.1672,                  2.746,                 1.0475,                      0,                      0,                      0,                      0,                 1.2913,                 2.9384,                 1.0538,              0.0001303,              0.0001303,              0.0001303
                      8,                 1.2363,                 2.4743,                 1.0415,                      0,                      0,                      0,                      0,                 1.2656,                 2.8873,                 1.0184,             0.00014733,             0.00014733,             0.00014733
                      9,                 1.1535,                 2.1695,                0.98514,                      0,                      0,                      0,                      0,                 1.1819,                  2.854,                0.98782,             0.00016396,             0.00016396,             0.00016396
                     10,                 1.1511,                 1.8845,                 1.0008,                      0,                      0,                      0,                      0,                 1.1988,                 2.8285,                 1.0213,              0.0001802,              0.0001802,              0.0001802
                     11,                 1.3918,                 1.8895,                 1.0163,                      0,                      0,                      0,                      0,                 1.2032,                 2.7788,                 1.0464,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.3659,                 1.5954,                 1.0328,                      0,                      0,                      0,                      0,                   1.21,                 2.6978,                 1.0627,             0.00021149,             0.00021149,             0.00021149
                     13,                 1.1588,                 1.4067,                0.98961,                      0,                      0,                      0,                      0,                 1.2151,                 2.5586,                 1.0381,             0.00022654,             0.00022654,             0.00022654
                     14,                 1.1657,                    1.1,                0.98495,                      0,                      0,                      0,                      0,                 1.1826,                 2.3929,                 1.0158,             0.00024119,             0.00024119,             0.00024119
                     15,                 1.0871,                0.97589,                0.95491,                      0,                      0,                      0,                      0,                 1.1874,                  2.219,                0.99134,             0.00025545,             0.00025545,             0.00025545
                     16,                 1.0367,                0.95129,                0.96352,                      0,                      0,                      0,                      0,                 1.2043,                 2.0597,                0.97862,             0.00026931,             0.00026931,             0.00026931
                     17,                 1.0512,                0.94948,                0.98761,                      0,                      0,                      0,                      0,                 1.2043,                 2.0597,                0.97862,             0.00028278,             0.00028278,             0.00028278
                     18,                 1.0069,                0.94232,                0.96441,                      0,                      0,                      0,                      0,                 1.2537,                 1.8989,                0.99611,             0.00029585,             0.00029585,             0.00029585
                     19,                  1.104,                0.88556,                0.94552,                      0,                      0,                      0,                      0,                 1.2537,                 1.8989,                0.99611,             0.00030852,             0.00030852,             0.00030852
                     20,                 1.1534,                 1.0527,                0.98392,                      0,                      0,                      0,                      0,                 1.2022,                 1.7617,                 0.9738,              0.0003208,              0.0003208,              0.0003208
                     21,                 1.0511,                0.89485,                0.97692,                      0,                      0,                      0,                      0,                 1.2022,                 1.7617,                 0.9738,             0.00033268,             0.00033268,             0.00033268
                     22,                 1.0092,                0.85463,                0.97592,                      0,                      0,                      0,                      0,                 1.1571,                 1.6343,                0.95442,             0.00034417,             0.00034417,             0.00034417
                     23,                0.93619,                0.86647,                0.98838,                      0,                      0,                      0,                      0,                 1.1571,                 1.6343,                0.95442,             0.00035526,             0.00035526,             0.00035526
                     24,                 1.0312,                0.95522,                0.97298,                      0,                      0,                      0,                      0,                 1.2058,                 1.4776,                 0.9884,             0.00036595,             0.00036595,             0.00036595
                     25,                 1.0724,                 0.8689,                0.99735,                      0,                      0,                      0,                      0,                 1.2058,                 1.4776,                 0.9884,             0.00037625,             0.00037625,             0.00037625
                     26,                 1.0705,                0.86188,                0.99131,                      1,                0.22222,                 0.6111,                0.39444,                 1.3987,                 1.3051,                 1.1032,             0.00038615,             0.00038615,             0.00038615
                     27,                 1.0214,                0.86583,                0.95597,                      1,                0.22222,                 0.6111,                0.39444,                 1.3987,                 1.3051,                 1.1032,             0.00039566,             0.00039566,             0.00039566
                     28,                0.97523,                0.88071,                  0.939,                      1,                0.88889,                 0.9444,                0.58204,                 1.5908,                 1.1573,                 1.2322,             0.00040477,             0.00040477,             0.00040477
                     29,                0.98421,                0.84453,                0.96343,                      1,                0.88889,                 0.9444,                0.58204,                 1.5908,                 1.1573,                 1.2322,             0.00041348,             0.00041348,             0.00041348
                     30,                 1.0045,                0.85449,                0.96578,                      1,                      1,                  0.995,                0.58369,                 1.6499,                 1.0415,                 1.2687,              0.0004218,              0.0004218,              0.0004218
                     31,                 1.0947,                 0.8576,                 0.9685,                      1,                      1,                  0.995,                0.58369,                 1.6499,                 1.0415,                 1.2687,             0.00042972,             0.00042972,             0.00042972
                     32,                0.95841,                0.81698,                0.96033,                      1,                      1,                  0.995,                0.69497,                 1.3074,                0.98121,                 1.0674,             0.00043725,             0.00043725,             0.00043725
